Teacher_id,Course_id,Section_id,Semester,Year,First_Name,Surname,Father_Name,Mother_Name,Gender,Birthday,Adress,Email
ANH^C,SAD,S2,2,2021,Marys,Rawdales,Avrom,Merrilee,Male,1/31/1960,0 Heath Park,arawdales0@nydailynews.com
GRFS,OR,S2,2,2021,Abbie,de Zamora,Hill,Moreen,Female,11/12/1985,954 Fisk Avenue,hdezamora1@guardian.co.uk
NTG,ITW,S2,2,2021,Pepillo,Antonsson,Florian,Magdalene,Male,5/24/1982,56 Grover Terrace,fantonsson2@plala.or.jp
HLIT,AI,S2,2,2021,Jourdain,Coltart,Orton,Clare,Male,5/19/1974,6613 Vernon Park,ocoltart3@themeforest.net
BTO,SS,S2,2,2021,Karleen,Southwick,Son,Manon,Male,5/18/1980,0223 Roxbury Terrace,ssouthwick4@indiegogo.com
PFBX,NM,S2,2,2021,Vanessa,Drysdall,Saundra,Vonni,Male,4/30/1972,7 Sullivan Street,sdrysdall5@php.net
BXP^B,CN2,S2,2,2021,Rowena,Hattigan,Rolph,Doti,Male,11/4/1969,01553 Lotheville Road,rhattigan6@simplemachines.org
BBT^G,SWE1,S2,2,2021,Ayn,Havick,Anthony,Glenna,Female,8/28/1972,35995 Melody Center,ahavick7@yellowpages.com
CBMX,PL,S2,2,2021,Meggy,Wellings,Palm,Dina,Male,11/3/1995,9534 Londonderry Place,pwellings8@epa.gov
ACLS,OS1,S2,2,2021,Allison,Mardell,Mead,Fawn,Male,5/7/1990,0 Center Circle,mmardell9@tmall.com
MDGL,SE2,S2,2,2021,Willette,Lyness,Ogdon,Wilow,Female,8/29/1986,711 Judy Place,olynessa@ihg.com
CSCO,MPC,S2,2,2021,Thorin,Bunton,Scott,Carree,Female,6/8/1976,4 Butterfield Street,sbuntonb@umich.edu
GRIF,SWE2,S2,2,2021,Helena,Gisbey,Filmer,Ernesta,Male,3/2/1962,6848 Grayhawk Lane,fgisbeyc@a8.net
ESRT,CD,S2,2,2021,Nero,Wenn,Meier,Belita,Female,12/28/1991,5 5th Avenue,mwennd@qq.com
CHW,DSD,S2,2,2021,Warner,De la Harpe,Willis,Selma,Female,6/20/1984,93 Aberg Plaza,wdelaharpee@live.com
CHTR,SAD,S2,2,2021,Yoshiko,Cahn,Moritz,Fawnia,Male,3/18/1975,88100 Daystar Court,mcahnf@behance.net
PNTR,SWE1,S2,2,2021,Shaina,Richemond,Sandy,Aleta,Female,2/11/1984,7756 Dunning Drive,srichemondg@fc2.com
AEUA,SWE2,S2,2,2021,Vanya,Hrinchishin,Anthony,Jolynn,Male,6/2/1979,7481 Main Plaza,ahrinchishinh@hostgator.com
ANDAR,CD,S2,2,2021,Euell,Beresfore,Hansiain,Vonny,Female,6/18/1987,3403 Russell Trail,hberesforei@opera.com
PHK,DSD,S2,2,2021,Sonnie,Bruyntjes,Ramsay,Dierdre,Female,9/1/1980,26 Cherokee Hill,rbruyntjesj@webeden.co.uk
